name,split,netTime
Rudy Von Berg,BIKE10,03:30:18.831
Jan Stratmann,BIKE10,03:32:48.058
Paul Schuster,BIKE10,03:32:50.601
Nathan Guerbeur,BIKE10,03:32:52.491
Federico Scarabino,BIKE10,03:32:54.437
Sven Thalmann,BIKE10,03:32:55.96
Kristian Høgenhaug,BIKE10,03:33:05.132
Matthew Marquardt,BIKE10,03:34:15.776
Cameron Wurf,BIKE10,03:34:33.792
Luciano Taccone,BIKE10,03:35:14.819
Wilhelm Hirsch,BIKE10,03:35:16.413
Mathias Lyngsø Petersen,BIKE10,03:35:18.065
Kacper Stepniak,BIKE10,03:36:17.077
